Name,Position,Minutes,Tries,Try Assists,Try Contributions,Carries,Meters,Defenders Beaten,Linebreaks,Offloads,Tackles,Missed Tackles,Turnovers Won,Turnovers Lost,Penalties,Kicks,Passes,Dominant Tackles,Starter,Opponent,Date,For,Against,Posession,Territory
Aaron Cruden,First Five,80,0,2,2,9,83,4,3,3,4,0,0,0,0,9,24,NA,Starter,Wales,11-Jun-16,39,21,55,54
Aaron Cruden,First Five,32,0,0,0,4,5,1,0,0,2,0,0,0,0,1,5,NA,Starter,Wales,18-Jun-16,36,22,44,50
Aaron Cruden,First Five,40,0,0,1,4,19,1,0,3,7,1,0,0,0,3,14,NA,Bench,Australia,20-Aug-16,42,8,55,60
Aaron Cruden,First Five,15,0,0,0,2,1,0,0,1,3,0,0,1,1,1,6,NA,Bench,Australia,27-Aug-16,29,9,55,60
Aaron Cruden,First Five,16,0,0,1,2,10,1,0,1,4,0,1,0,0,2,9,NA,Bench,Argentina,10-Sep-16,57,22,45,60
Aaron Cruden,First Five,35,0,0,0,6,27,1,1,3,7,0,0,2,0,8,15,NA,Bench,Australia,22-Oct-16,37,10,35,32
Aaron Cruden,First Five,25,0,0,1,3,23,0,1,0,3,0,0,0,0,1,5,NA,Bench,Ireland,6-Nov-16,29,40,49,51
Aaron Cruden,First Five,59,0,0,3,9,43,2,1,1,0,1,0,3,0,10,28,NA,Starter,Italy,13-Nov-16,68,10,63,50
Aaron Cruden,First Five,22,0,0,0,2,9,1,0,1,6,0,0,2,0,4,7,NA,Bench,Ireland,20-Nov-16,21,9,34,46
Aaron Cruden,First Five,23,0,0,0,2,16,0,0,0,1,0,0,0,0,1,9,NA,Bench,France,27-Nov-16,24,19,50,47
Aaron Cruden,First Five,54,0,1,1,8,22,0,0,2,6,2,0,1,0,4,17,NA,Bench,Lions,24-Jun-17,30,15,61,63
Aaron Cruden,First Five,21,0,0,0,2,7,1,0,1,1,0,0,0,1,1,1,NA,Bench,Lions,1-Jul-17,21,24,61,58
Aaron Cruden,First Five,8,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,NA,Bench,Lions,8-Jul-17,15,15,51,56
Aaron Smith,Halfback,68,0,1,3,6,13,0,1,0,3,2,0,3,1,11,72,NA,Starter,Wales,11-Jun-16,39,21,55,54
Aaron Smith,Halfback,64,0,2,4,8,36,1,1,0,3,1,1,4,1,10,55,NA,Starter,Wales,18-Jun-16,36,22,44,50
Aaron Smith,Halfback,71,0,2,4,7,30,3,3,2,3,1,0,0,0,4,58,NA,Starter,Wales,26-Jun-16,46,6,38,54
Aaron Smith,Halfback,67,0,0,4,8,17,1,2,2,2,1,0,0,1,4,85,NA,Starter,Australia,20-Aug-16,42,8,55,60
Aaron Smith,Halfback,65,0,1,4,2,16,3,1,0,4,0,1,2,0,4,51,NA,Starter,Australia,27-Aug-16,29,9,55,60
Aaron Smith,Halfback,48,0,1,2,4,9,0,0,0,7,2,0,1,0,3,29,NA,Starter,Argentina,10-Sep-16,57,22,45,60
