Position,Starter,Minutes,Tries,Try Assists,Try Contributions,Carries,Meters,Defenders Beaten,Linebreaks,Offloads,Tackles,Missed Tackles,Turnovers Won,Turnovers Lost,Penalties,Kicks,Passes,Dominant Tackles
Blindside,Bench,19.857142857142858,0.14285714285714285,0.0,0.0,4.142857142857143,6.857142857142857,0.8571428571428571,0.0,0.14285714285714285,3.0,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.0,0.7142857142857143,0.0
Blindside,Starter,58.45454545454545,0.045454545454545456,0.045454545454545456,0.045454545454545456,6.2272727272727275,15.636363636363637,0.9090909090909091,0.18181818181818182,0.4090909090909091,7.7272727272727275,0.8636363636363636,0.06666666666666667,0.4090909090909091,0.7272727272727273,0.0,2.5454545454545454,0.25
Center,Bench,23.2,0.0,0.0,0.2,3.4,17.8,1.2,0.2,0.0,1.6,0.4,0.2,0.4,0.0,0.0,2.8,0.0
Center,Starter,72.18181818181819,0.18181818181818182,0.22727272727272727,0.2727272727272727,6.818181818181818,41.81818181818182,2.0454545454545454,0.5909090909090909,0.45454545454545453,5.681818181818182,1.0,0.06666666666666667,0.9090909090909091,0.5909090909090909,0.06666666666666667,3.1818181818181817,0.125
First Five,Bench,19.916666666666668,0.0,0.0,0.16666666666666666,2.75,7.583333333333333,0.4166666666666667,0.08333333333333333,0.3333333333333333,2.25,0.08333333333333333,0.0,0.25,0.08333333333333333,1.1111111111111112,5.583333333333333,0.2
First Five,Starter,73.77272727272727,0.045454545454545456,0.22727272727272727,0.6363636363636364,11.954545454545455,45.13636363636363,3.0454545454545454,0.4090909090909091,1.0,5.318181818181818,1.3181818181818181,0.13333333333333333,1.5909090909090908,0.4090909090909091,8.266666666666667,19.40909090909091,0.25
Fullback,Bench,15.5,0.0,0.0,0.0,3.25,21.0,0.75,0.5,0.5,0.5,0.25,0.0,0.25,0.0,0.0,1.75,
Fullback,Starter,76.04545454545455,0.2727272727272727,0.2727272727272727,0.5,11.636363636363637,52.72727272727273,2.5454545454545454,1.0,0.8181818181818182,2.409090909090909,0.9545454545454546,0.2,1.5454545454545454,0.09090909090909091,4.666666666666667,10.454545454545455,0.25
Halfback,Bench,17.818181818181817,0.09090909090909091,0.045454545454545456,0.23809523809523808,1.9090909090909092,10.181818181818182,0.6363636363636364,0.2727272727272727,0.18181818181818182,1.0909090909090908,0.22727272727272727,0.13333333333333333,0.4090909090909091,0.0,1.2,25.636363636363637,0.0
Halfback,Starter,62.18181818181818,0.09090909090909091,0.18181818181818182,0.9545454545454546,2.8181818181818183,8.681818181818182,0.4090909090909091,0.2727272727272727,0.09090909090909091,4.363636363636363,1.0909090909090908,0.06666666666666667,0.4090909090909091,0.2727272727272727,4.533333333333333,53.68181818181818,0.625
Hooker,Bench,21.772727272727273,0.0,0.0,0.0,3.6363636363636362,10.045454545454545,0.45454545454545453,0.2727272727272727,0.13636363636363635,1.9090909090909092,0.045454545454545456,0.0,0.2727272727272727,0.22727272727272727,0.0,1.3636363636363635,0.125
Hooker,Starter,58.18181818181818,0.22727272727272727,0.045454545454545456,0.22727272727272727,6.0,13.727272727272727,0.6818181818181818,0.22727272727272727,0.4090909090909091,8.363636363636363,0.6363636363636364,0.2,0.2727272727272727,0.45454545454545453,0.0,2.090909090909091,0.125
Lock,Bench,20.142857142857142,0.09523809523809523,0.0,0.0,2.8095238095238093,6.142857142857143,0.3333333333333333,0.047619047619047616,0.19047619047619047,0.9523809523809523,0.14285714285714285,0.06666666666666667,0.3333333333333333,0.09523809523809523,0.0,0.8571428571428571,0.0
Lock,Starter,70.75,0.0,0.0,0.045454545454545456,5.795454545454546,8.431818181818182,0.4318181818181818,0.045454545454545456,0.25,8.772727272727273,0.7727272727272727,0.4,0.6590909090909091,0.8863636363636364,0.0,3.477272727272727,0.375
Number 8,Bench,15.4,0.0,0.0,0.0,2.8,8.4,0.4,0.0,0.0,1.8,0.0,0.0,0.4,0.2,0.0,1.0,0.0
Number 8,Starter,76.0,0.09090909090909091,0.13636363636363635,0.22727272727272727,12.409090909090908,23.454545454545453,1.4545454545454546,0.22727272727272727,0.8636363636363636,10.090909090909092,0.9545454545454546,0.5333333333333333,0.6363636363636364,0.6363636363636364,0.13333333333333333,6.818181818181818,0.375
Openside,Bench,15.0,0.08333333333333333,0.0,0.0,2.5833333333333335,5.75,0.3333333333333333,0.08333333333333333,0.16666666666666666,1.75,0.16666666666666666,0.0,0.08333333333333333,0.16666666666666666,0.0,1.0833333333333333,0.0
Openside,Starter,69.95454545454545,0.18181818181818182,0.045454545454545456,0.09090909090909091,6.181818181818182,15.818181818181818,0.9090909090909091,0.22727272727272727,0.5,12.681818181818182,1.0,0.4666666666666667,0.6363636363636364,0.6818181818181818,0.06666666666666667,4.2272727272727275,0.375
Prop,Bench,29.681818181818183,0.0,0.0,0.0,2.477272727272727,2.5681818181818183,0.06818181818181818,0.022727272727272728,0.045454545454545456,2.477272727272727,0.6590909090909091,0.06666666666666667,0.22727272727272727,0.4318181818181818,0.0,0.5909090909090909,0.0625
Prop,Starter,53.11363636363637,0.0,0.0,0.0,3.340909090909091,2.75,0.13636363636363635,0.045454545454545456,0.06818181818181818,7.340909090909091,1.0681818181818181,0.06666666666666667,0.25,1.0227272727272727,0.0,1.0227272727272727,0.3125
Second Five,Bench,24.533333333333335,0.06666666666666667,0.0,0.13333333333333333,3.8666666666666667,16.266666666666666,1.0666666666666667,0.3333333333333333,0.4,2.466666666666667,0.26666666666666666,0.0,0.3333333333333333,0.2,0.2,2.066666666666667,0.0
Second Five,Starter,67.9090909090909,0.09090909090909091,0.09090909090909091,0.4090909090909091,7.818181818181818,23.272727272727273,1.9090909090909092,0.09090909090909091,0.8181818181818182,7.5,0.8636363636363636,0.13333333333333333,0.9545454545454546,0.45454545454545453,1.2666666666666666,5.681818181818182,0.375
Wing,Bench,21.142857142857142,0.14285714285714285,0.0,0.0,3.0,16.142857142857142,0.8571428571428571,0.42857142857142855,0.14285714285714285,0.5714285714285714,0.0,0.0,0.14285714285714285,0.0,0.0,1.8571428571428572,1.0
