Name,Position,Minutes,Tries,Try Assists,Try Contributions,Carries,Meters,Defenders Beaten,Linebreaks,Offloads,Tackles,Missed Tackles,Turnovers Won,Turnovers Lost,Penalties,Kicks,Passes,Dominant Tackles,Starter,Opponent,Date,For,Against,Posession,Territory,Result
Aaron Cruden,First Five,25,0,0,1,3,23,0,1,0,3,0,0.0,0,0.0,1.0,5,,Bench,Ireland,6-Nov-16,29,40,49,51,Non-Win
Aaron Cruden,First Five,21,0,0,0,2,7,1,0,1,1,0,0.0,0,1.0,1.0,1,,Bench,Lions,1-Jul-17,21,24,61,58,Non-Win
Aaron Cruden,First Five,8,0,0,0,1,2,0,0,0,0,0,0.0,0,0.0,0.0,3,,Bench,Lions,8-Jul-17,15,15,51,56,Non-Win
Aaron Smith,Halfback,45,0,0,1,3,3,0,0,0,3,2,0.0,0,1.0,3.0,43,,Starter,Ireland,6-Nov-16,29,40,49,51,Non-Win
Aaron Smith,Halfback,65,0,0,0,1,1,0,0,0,1,0,0.0,0,1.0,10.0,53,,Starter,Lions,1-Jul-17,21,24,61,58,Non-Win
Aaron Smith,Halfback,73,0,0,2,5,2,0,0,0,3,1,0.0,0,0.0,7.0,72,,Starter,Lions,8-Jul-17,15,15,51,56,Non-Win
Aaron Smith,Halfback,64,0,1,1,1,20,0,1,0,3,0,1.0,0,0.0,7.0,36,,Starter,Australia,21-Oct-17,18,23,43,52,Non-Win
Aaron Smith,Halfback,49,1,0,2,6,33,1,1,0,1,1,0.0,1,0.0,0.0,78,,Starter,South Africa,15-Sep-18,34,36,75,57,Non-Win
Aaron Smith,Halfback,57,0,0,0,0,0,0,0,0,13,2,0.0,0,0.0,3.0,56,,Starter,Scotland,18-Nov-18,9,16,48,52,Non-Win
Aaron Smith,Halfback,21,0,0,0,2,4,1,1,0,5,0,,0,0.0,,38,,Bench,South Africa,27-Jul-19,16,16,57,59,Non-Win
Aaron Smith,Halfback,62,0,1,3,2,23,2,2,0,9,3,,1,0.0,,46,,Starter,Australia,10-Aug-19,26,47,35,24,Non-Win
Aaron Smith,Halfback,55,0,0,0,3,3,1,0,0,7,1,,1,1.0,,45,,Starter,England,26-Oct-19,7,19,44,38,Non-Win
Aaron Smith,Halfback,63,0,0,0,3,0,0,0,0,5,1,,0,0.0,,52,,Starter,Argentina,14-Nov-20,15,25,45,46,Non-Win
