Name,Position,Games Played,Minutes,Tries Per Game,Try Assists Per Game,Try Contributions Per Game,Carries Per Game,Meters Per Game,Defenders Beaten Per Game,Linebreaks Per Game,Offloads Per Game,Tackles Per Game,Missed Tackles Per Game,Turnovers Won Per Game,Turnovers Lost Per Game,Penalties Per Game,Kicks Per Game,Passes Per Game,Dominant Tackles Per Game
Aaron Cruden,First Five,13,430,0.0,0.23076923076923078,0.6923076923076923,4.153846153846154,20.53846153846154,0.9230769230769231,0.46153846153846156,1.2307692307692308,3.3846153846153846,0.3076923076923077,0.07692307692307693,0.6923076923076923,0.15384615384615385,3.4615384615384617,11.0,0.0
Aaron Smith,Halfback,75,4212,0.2,0.64,1.9066666666666667,3.7333333333333334,14.426666666666666,0.8266666666666667,0.6666666666666666,0.29333333333333333,3.8266666666666667,0.9733333333333334,0.13333333333333333,0.64,0.30666666666666664,3.6133333333333333,52.48,0.09333333333333334
Aidan Ross,Prop,1,20,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Akira Ioane,Blindside,21,1103,0.047619047619047616,0.09523809523809523,0.23809523809523808,7.095238095238095,28.80952380952381,1.9523809523809523,0.42857142857142855,0.09523809523809523,5.0,0.5238095238095238,0.38095238095238093,0.42857142857142855,0.6190476190476191,0.09523809523809523,2.5238095238095237,0.19047619047619047
Alex Hodgman,Prop,2,29,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,4.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0
Angus Ta'avao,Prop,23,732,0.13043478260869565,0.043478260869565216,0.043478260869565216,2.0434782608695654,4.913043478260869,0.2608695652173913,0.043478260869565216,0.13043478260869565,5.0,0.43478260869565216,0.0,0.17391304347826086,0.6086956521739131,0.0,0.9565217391304348,0.043478260869565216
Anton Lienert-Brown,Second Five,67,3584,0.208955223880597,0.3582089552238806,0.6268656716417911,6.955223880597015,31.955223880597014,2.08955223880597,0.7761194029850746,0.9552238805970149,4.955223880597015,0.6417910447761194,0.16417910447761194,0.6268656716417911,0.31343283582089554,0.22388059701492538,5.223880597014926,0.08955223880597014
Ardie Savea,Openside,79,4599,0.2911392405063291,0.26582278481012656,0.3670886075949367,9.278481012658228,31.88607594936709,2.3037974683544302,0.4810126582278481,0.7215189873417721,8.189873417721518,0.45569620253164556,0.5063291139240507,0.5063291139240507,0.4430379746835443,0.08860759493670886,5.012658227848101,0.17721518987341772
Asafo Aumua,Hooker,6,188,0.3333333333333333,0.0,0.0,5.5,18.5,0.5,0.0,0.16666666666666666,3.6666666666666665,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.0,1.8333333333333333,0.0
Atu Moli,Prop,4,153,0.0,0.0,0.0,2.5,3.75,0.0,0.0,0.0,6.25,1.25,0.0,0.5,0.25,0.0,0.5,0.0
Beauden Barrett,First Five,85,5597,0.4,0.6235294117647059,1.2588235294117647,9.811764705882354,46.705882352941174,2.3176470588235296,0.9058823529411765,0.7411764705882353,3.541176470588235,1.0823529411764705,0.16470588235294117,1.3058823529411765,0.27058823529411763,7.435294117647059,15.905882352941177,0.03529411764705882
Ben Smith,Fullback,36,2608,0.5555555555555556,0.3055555555555556,0.6111111111111112,8.916666666666666,64.05555555555556,3.638888888888889,2.111111111111111,1.1388888888888888,2.861111111111111,0.5277777777777778,0.3055555555555556,1.1111111111111112,0.2222222222222222,1.1944444444444444,7.638888888888889,0.0
