Name,Minutes,Tries,Try Assists,Try Contributions,Carries,Meters,Defenders Beaten,Linebreaks,Offloads,Tackles,Missed Tackles,Turnovers Won,Turnovers Lost,Penalties,Kicks,Passes,Dominant Tackles,Games Played,Position
Aaron Cruden,430,0,3,9.0,54.0,267,12,6,16,44,4,1.0,9,2.0,45.0,143,0.0,13,First Five
Aaron Smith,4212,15,48,143.0,280.0,1082,62,50,22,287,73,10.0,48,23.0,271.0,3936,7.0,75,Halfback
Aidan Ross,20,0,0,0.0,2.0,1,0,0,0,3,1,0.0,1,1.0,0.0,0,0.0,1,Prop
Akira Ioane,1103,1,2,5.0,149.0,605,41,9,2,105,11,8.0,9,13.0,2.0,53,4.0,21,Blindside
Alex Hodgman,29,0,0,0.0,1.0,0,0,0,0,9,1,0.0,0,1.0,0.0,0,0.0,2,Prop
Angus Ta'avao,732,3,1,1.0,47.0,113,6,1,3,115,10,0.0,4,14.0,0.0,22,1.0,23,Prop
Anton Lienert-Brown,3584,14,24,42.0,466.0,2141,140,52,64,332,43,11.0,42,21.0,15.0,350,6.0,67,Second Five
Ardie Savea,4599,23,21,29.0,733.0,2519,182,38,57,647,36,40.0,40,35.0,7.0,396,14.0,79,Openside
Asafo Aumua,188,2,0,0.0,33.0,111,3,0,1,22,2,0.0,1,1.0,0.0,11,0.0,6,Hooker
Atu Moli,153,0,0,0.0,10.0,15,0,0,0,25,5,0.0,2,1.0,0.0,2,0.0,4,Prop
Beauden Barrett,5597,34,53,107.0,834.0,3970,197,77,63,301,92,14.0,111,23.0,632.0,1352,3.0,85,First Five
Ben Smith,2608,20,11,22.0,321.0,2306,131,76,41,103,19,11.0,40,8.0,43.0,275,0.0,36,Fullback
Brad Weber,411,6,7,20.0,26.0,265,5,8,0,40,6,0.0,5,1.0,4.0,388,0.0,17,Halfback
Braydon Ennor,312,1,1,2.0,26.0,227,10,5,6,22,7,0.0,8,4.0,3.0,23,2.0,9,Center
Brett Cameron,10,0,0,0.0,1.0,17,2,1,0,2,0,0.0,0,0.0,0.0,1,0.0,1,First Five
Brodie Retallick,3994,7,5,12.0,433.0,1168,53,19,27,495,51,28.0,31,54.0,3.0,260,8.0,62,Lock
Caleb Clarke,1136,6,1,3.0,148.0,1015,41,20,1,50,11,1.0,23,5.0,4.0,47,2.0,17,Wing
Cam Roigard,190,4,6,15.0,38.0,217,26,7,1,15,3,1.0,5,1.0,9.0,189,0.0,5,Halfback
Charlie Faumuina,532,3,1,3.0,42.0,83,5,1,3,52,5,1.0,4,6.0,1.0,19,0.0,17,Prop
Codie Taylor,3526,18,8,14.0,327.0,988,40,30,11,487,44,12.0,32,21.0,2.0,147,4.0,78,Hooker
Cullen Grace,2,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,1,Number 8
Dallas McLeod,41,0,0,0.0,3.0,0,1,0,0,4,2,0.0,0,0.0,0.0,1,0.0,1,Center
Dalton Papali'i,1522,8,3,5.0,94.0,469,19,11,9,284,16,11.0,14,15.0,0.0,60,10.0,31,Openside
Damian McKenzie,2421,19,25,40.0,355.0,2305,148,56,43,109,28,3.0,62,12.0,131.0,576,3.0,46,Fullback
Dane Coles,2392,17,10,17.0,233.0,820,39,35,30,292,30,10.0,19,22.0,6.0,137,0.0,51,Hooker
David Havili,1402,9,4,10.0,159.0,823,47,14,14,130,25,1.0,20,11.0,29.0,122,4.0,27,Second Five
Dillon Hunt,22,0,0,0.0,3.0,12,0,1,0,3,0,2.0,2,0.0,0.0,1,0.0,1,Openside
Elliot Dixon,139,1,1,1.0,16.0,110,3,5,1,15,0,0.0,1,1.0,0.0,9,0.0,3,Blindside
Emoni Narawa,80,1,0,0.0,9.0,79,2,1,0,11,0,1.0,0,1.0,0.0,2,2.0,1,Wing
Ethan Blackadder,524,0,0,2.0,41.0,132,5,4,6,93,8,4.0,8,7.0,0.0,29,0.0,10,Blindside
Ethan De Groot,1052,3,0,3.0,74.0,80,4,1,2,132,13,2.0,4,17.0,0.0,32,2.0,22,Prop
