Position,Starter,Minutes,Tries,Try Assists,Try Contributions,Carries,Meters,Defenders Beaten,Linebreaks,Offloads,Tackles,Missed Tackles,Turnovers Won,Turnovers Lost,Penalties,Kicks,Passes,Dominant Tackles
Blindside,Bench,21.69565217,0.130434783,0.130434783,0.217391304,3.043478261,15.47826087,0.739130435,0.347826087,0.304347826,3.130434783,0.347826087,0.294117647,0.347826087,0.086956522,0,1.173913043,0
Blindside,Starter,68.14864865,0.216216216,0.135135135,0.351351351,7.986486486,32.74324324,1.716216216,0.72972973,0.351351351,9.081081081,1.067567568,0.368421053,0.675675676,0.698630137,0.033898305,3.324324324,0.764705882
Center,Bench,20.6,0.04,0.08,0.24,2.8,12.64,0.72,0.2,0.6,2.52,0.56,0.1,0.24,0.125,0.047619048,2.2,0.375
Center,Starter,70.78378378,0.351351351,0.310810811,0.675675676,8.5,51.90540541,2.472972973,1.148648649,1.081081081,5.635135135,0.932432432,0.333333333,0.905405405,0.410958904,0.508474576,6.783783784,0.470588235
First Five,Bench,22.60344828,0.120689655,0.344827586,0.620689655,2.827586207,18.9137931,0.844827586,0.448275862,0.413793103,2.172413793,0.379310345,0.104166667,0.517241379,0.137931034,2.645833333,6.896551724,0.166666667
First Five,Starter,71.24324324,0.5,0.810810811,1.783783784,8.851351351,46.78378378,3.040540541,1.094594595,0.851351351,4.310810811,1.108108108,0.192982456,1.297297297,0.273972603,10.52542373,21.02702703,0.176470588
Fullback,Bench,21.44444444,0,0.222222222,0.444444444,3.666666667,18.22222222,1.555555556,0.333333333,0.666666667,1.555555556,0.444444444,0,0.333333333,0.111111111,1.333333333,3.444444444,
Fullback,Starter,74.01351351,0.5,0.486486486,0.891891892,10.8630137,67.85135135,3.310810811,1.445945946,0.986486486,2.337837838,0.689189189,0.245614035,1.513513514,0.287671233,3.847457627,10.64864865,0.058823529
Halfback,Bench,20.12162162,0.094594595,0.310810811,0.905405405,1.810810811,12.27027027,0.364864865,0.432432432,0.135135135,1.905405405,0.337837838,0.245614035,0.27027027,0.219178082,0.898305085,20.44594595,0.117647059
Halfback,Starter,59.47297297,0.418918919,0.824324324,2.540540541,4.513513514,19.21621622,1.027027027,0.851351351,0.432432432,4.378378378,0.972972973,0.333333333,0.959459459,0.246575342,4.406779661,56.17567568,0.117647059
Hooker,Bench,22.71621622,0.22972973,0.054054054,0.094594595,3.108108108,7.540540541,0.5,0.162162162,0.121621622,3.662162162,0.391891892,0.122807018,0.189189189,0.123287671,0.016949153,1.054054054,0.470588235
Hooker,Starter,56.91891892,0.351351351,0.202702703,0.337837838,5.72972973,19.08108108,0.864864865,0.621621622,0.432432432,7.108108108,0.72972973,0.280701754,0.594594595,0.452054795,0.13559322,2.689189189,0.470588235
Lock,Bench,23.13846154,0.092307692,0.030769231,0.092307692,2.6,7.261538462,0.369230769,0.107692308,0.184615385,3.323076923,0.276923077,0.1875,0.169230769,0.171875,0,1.661538462,0.3125
Lock,Starter,71.53378378,0.121621622,0.067567568,0.168918919,7.02027027,15.45945946,0.72972973,0.263513514,0.391891892,9.155405405,0.858108108,0.50877193,0.547297297,0.815068493,0.033898305,4.027027027,0.647058824
Number 8,Bench,14.78571429,0.071428571,0,0.071428571,1.928571429,3.785714286,0,0.071428571,0.142857143,3.928571429,0,0.25,0.214285714,0.384615385,0,1.214285714,0.75
Number 8,Starter,76.22972973,0.324324324,0.351351351,0.743243243,10.59459459,33.27027027,1.716216216,0.594594595,0.864864865,9.527027027,0.945945946,0.649122807,0.756756757,0.712328767,0.101694915,7.337837838,0.941176471
Openside,Bench,25.30434783,0.108695652,0.02173913,0.086956522,2.97826087,10.10869565,0.369565217,0.239130435,0.152173913,5.065217391,0.326086957,0.536585366,0.326086957,0.304347826,0.023809524,1.934782609,0.4
Openside,Starter,64.40540541,0.189189189,0.094594595,0.243243243,5.783783784,15.78378378,0.77027027,0.432432432,0.635135135,11.18918919,1.013513514,0.894736842,0.662162162,0.506849315,0.050847458,4.621621622,0.941176471
Prop,Bench,27.05405405,0.047297297,0.006756757,0.067567568,2.02027027,2.952702703,0.155405405,0.006756757,0.108108108,3.331081081,0.567567568,0.114035088,0.141891892,0.51369863,0.008474576,0.912162162,0.147058824
Prop,Starter,52.59459459,0.067567568,0.02027027,0.067567568,3.344594595,5.135135135,0.175675676,0.081081081,0.114864865,6.324324324,1.013513514,0.131578947,0.25,0.780821918,0,1.168918919,0.235294118
Second Five,Bench,25.02857143,0.171428571,0.171428571,0.264705882,3.714285714,17.91428571,1.114285714,0.514285714,0.371428571,3.085714286,0.457142857,0.111111111,0.142857143,0.142857143,0.214285714,2.714285714,0.1
Second Five,Starter,67.37837838,0.418918919,0.364864865,0.918918919,9.256756757,44.45945946,2.175675676,0.918918919,1.364864865,7.175675676,1.216216216,0.298245614,0.986486486,0.397260274,1.050847458,7.837837838,0.470588235
Wing,Bench,23.42857143,0.571428571,0.047619048,0.095238095,4.142857143,34.19047619,1.285714286,0.761904762,0.333333333,1.142857143,0.380952381,0.285714286,0.666666667,0.1,0.466666667,1.476190476,0.25
Wing,Starter,74.81756757,0.837837838,0.263513514,0.52027027,9.52027027,76.33108108,3.466216216,2.358108108,0.891891892,3.844594595,0.972972973,0.350877193,1.364864865,0.260273973,0.754237288,4.77027027,0.323529412
