Name,Position,Minutes,Tries,Try Assists,Try Contributions,Carries,Meters,Defenders Beaten,Linebreaks,Offloads,Tackles,Missed Tackles,Turnovers Won,Turnovers Lost,Penalties,Kicks,Passes,Dominant Tackles,Starter,Opponent,Date,For,Against,Posession,Territory,Result
Aaron Cruden,First Five,80,0,2,2,9,83,4,3,3,4,0,0.0,0,0.0,9.0,24,,Starter,Wales,11-Jun-16,39,21,55,54,Win
Aaron Cruden,First Five,32,0,0,0,4,5,1,0,0,2,0,0.0,0,0.0,1.0,5,,Starter,Wales,18-Jun-16,36,22,44,50,Win
Aaron Cruden,First Five,40,0,0,1,4,19,1,0,3,7,1,0.0,0,0.0,3.0,14,,Bench,Australia,20-Aug-16,42,8,55,60,Win
Aaron Cruden,First Five,15,0,0,0,2,1,0,0,1,3,0,0.0,1,1.0,1.0,6,,Bench,Australia,27-Aug-16,29,9,55,60,Win
Aaron Cruden,First Five,16,0,0,1,2,10,1,0,1,4,0,1.0,0,0.0,2.0,9,,Bench,Argentina,10-Sep-16,57,22,45,60,Win
Aaron Cruden,First Five,35,0,0,0,6,27,1,1,3,7,0,0.0,2,0.0,8.0,15,,Bench,Australia,22-Oct-16,37,10,35,32,Win
Aaron Cruden,First Five,59,0,0,3,9,43,2,1,1,0,1,0.0,3,0.0,10.0,28,,Starter,Italy,13-Nov-16,68,10,63,50,Win
Aaron Cruden,First Five,22,0,0,0,2,9,1,0,1,6,0,0.0,2,0.0,4.0,7,,Bench,Ireland,20-Nov-16,21,9,34,46,Win
Aaron Cruden,First Five,23,0,0,0,2,16,0,0,0,1,0,0.0,0,0.0,1.0,9,,Bench,France,27-Nov-16,24,19,50,47,Win
Aaron Cruden,First Five,54,0,1,1,8,22,0,0,2,6,2,0.0,1,0.0,4.0,17,,Bench,Lions,24-Jun-17,30,15,61,63,Win
Aaron Smith,Halfback,68,0,1,3,6,13,0,1,0,3,2,0.0,3,1.0,11.0,72,,Starter,Wales,11-Jun-16,39,21,55,54,Win
Aaron Smith,Halfback,64,0,2,4,8,36,1,1,0,3,1,1.0,4,1.0,10.0,55,,Starter,Wales,18-Jun-16,36,22,44,50,Win
Aaron Smith,Halfback,71,0,2,4,7,30,3,3,2,3,1,0.0,0,0.0,4.0,58,,Starter,Wales,26-Jun-16,46,6,38,54,Win
Aaron Smith,Halfback,67,0,0,4,8,17,1,2,2,2,1,0.0,0,1.0,4.0,85,,Starter,Australia,20-Aug-16,42,8,55,60,Win
Aaron Smith,Halfback,65,0,1,4,2,16,3,1,0,4,0,1.0,2,0.0,4.0,51,,Starter,Australia,27-Aug-16,29,9,55,60,Win
Aaron Smith,Halfback,48,0,1,2,4,9,0,0,0,7,2,0.0,1,0.0,3.0,29,,Starter,Argentina,10-Sep-16,57,22,45,60,Win
Aaron Smith,Halfback,63,0,2,4,6,48,4,1,1,2,3,0.0,1,0.0,8.0,47,,Starter,South Africa,17-Sep-16,41,13,51,54,Win
Aaron Smith,Halfback,30,0,0,2,6,35,1,1,0,1,0,0.0,0,0.0,2.0,42,,Bench,Italy,13-Nov-16,68,10,63,50,Win
Aaron Smith,Halfback,48,0,1,2,0,0,0,0,0,8,1,0.0,1,1.0,8.0,34,,Starter,Ireland,20-Nov-16,21,9,34,46,Win
Aaron Smith,Halfback,21,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0,2.0,23,,Bench,France,27-Nov-16,24,19,50,47,Win
Aaron Smith,Halfback,56,0,0,6,6,15,0,1,1,3,1,1.0,1,0.0,10.0,40,,Starter,Samoa,16-Jun-17,78,0,45,40,Win
Aaron Smith,Halfback,55,0,0,2,7,26,0,2,2,2,3,0.0,2,1.0,6.0,103,,Starter,Lions,24-Jun-17,30,15,61,63,Win
Aaron Smith,Halfback,52,0,3,6,7,12,1,0,3,3,0,0.0,0,0.0,0.0,60,,Starter,Australia,19-Aug-17,54,34,58,51,Win
Aaron Smith,Halfback,67,1,2,2,7,19,1,1,0,6,2,0.0,1,0.0,0.0,80,,Starter,Australia,26-Aug-17,35,29,61,51,Win
Aaron Smith,Halfback,57,0,1,3,3,9,1,0,0,5,1,0.0,0,0.0,3.0,47,,Starter,South Africa,16-Sep-17,57,0,53,49,Win
Aaron Smith,Halfback,50,0,0,3,5,21,0,1,0,3,1,0.0,0,0.0,4.0,36,,Starter,Argentina,1-Oct-17,36,10,53,48,Win
Aaron Smith,Halfback,59,0,0,0,6,30,2,2,0,10,4,0.0,0,0.0,2.0,59,,Starter,South Africa,8-Oct-17,25,24,36,56,Win
Aaron Smith,Halfback,68,0,0,4,3,19,1,1,0,3,2,0.0,1,0.0,8.0,42,,Starter,France,12-Nov-17,38,18,43,58,Win
