Name,Position,Games Played,Minutes,Tries Per 80 Minutes,Try Assists Per 80 Minutes,Try Contributions Per 80 Minutes,Carries Per 80 Minutes,Meters Per 80 Minutes,Defenders Beaten Per 80 Minutes,Linebreaks Per 80 Minutes,Offloads Per 80 Minutes,Tackles Per 80 Minutes,Missed Tackles Per 80 Minutes,Turnovers Won Per 80 Minutes,Turnovers Lost Per 80 Minutes,Penalties Per 80 Minutes,Kicks Per 80 Minutes,Passes Per 80 Minutes,Dominant Tackles Per 80 Minutes
Cullen Grace,Number 8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brett Cameron,First Five,1,10,0,0,0,8,136,16,8,0,16,0,0,0,0,0,8,0
James Parsons,Hooker,1,11,0,0,0,0,0,0,0,0,0,0,0,7.272727273,0,0,0,0
Aidan Ross,Prop,1,20,0,0,0,8,4,0,0,0,12,4,0,4,4,0,0,0
Dillon Hunt,Openside,1,22,0,0,0,10.90909091,43.63636364,0,3.636363636,0,10.90909091,0,7.272727273,7.272727273,0,0,3.636363636,0
Mitchell Drummond,Halfback,1,22,0,0,0,0,0,0,0,0,10.90909091,0,0,0,0,0,50.90909091,0
Gareth Evans,Blindside,1,27,0,5.925925926,5.925925926,14.81481481,38.51851852,5.925925926,2.962962963,0,8.888888889,0,2.962962963,5.925925926,0,0,8.888888889,0
Alex Hodgman,Prop,2,29,0,0,0,2.75862069,0,0,0,0,24.82758621,2.75862069,0,0,2.75862069,0,0,0
Pita Gus Sowakula,Number 8,2,30,2.666666667,0,0,16,18.66666667,2.666666667,0,0,21.33333333,0,0,5.333333333,5.333333333,0,2.666666667,0
Folau Fakatava,Halfback,2,38,0,0,2.105263158,14.73684211,35.78947368,0,0,2.105263158,0,2.105263158,0,4.210526316,0,2.105263158,105.2631579,0
Josh Ioane,First Five,2,39,0,8.205128205,10.25641026,8.205128205,20.51282051,0,0,0,4.102564103,2.051282051,0,0,2.051282051,0,26.66666667,0
Dallas McLeod,Center,1,41,0,0,0,5.853658537,0,1.951219512,0,0,7.804878049,3.902439024,0,0,0,0,1.951219512,0
Seta Tamanivalu,Center,3,64,0,0,0,12.5,51.25,5,1.25,2.5,11.25,3.75,0,3.75,0,1.25,10,0
